"filename", "language", "JSON", "HTML", "PHP", "PostCSS", "JavaScript", "SCSS", "comment", "blank", "total"
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/customers/db_select_customers.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 1, 12
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/db_login.php", "PHP", 0, 0, 41, 0, 0, 0, 8, 12, 61
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/db_register.php", "PHP", 0, 0, 36, 0, 0, 0, 0, 11, 47
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/orders/db_order_insert.php", "PHP", 0, 0, 39, 0, 0, 0, 3, 8, 50
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/orders/db_select_orders.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 1, 12
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/products/db_product_delete.php", "PHP", 0, 0, 12, 0, 0, 0, 4, 5, 21
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/products/db_product_insert.php", "PHP", 0, 0, 51, 0, 0, 0, 10, 11, 72
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/products/db_product_update.php", "PHP", 0, 0, 32, 0, 0, 0, 4, 5, 41
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/products/db_select_products.php", "PHP", 0, 0, 7, 0, 0, 0, 3, 5, 15
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/reviews/db_review_insert.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 5, 19
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/reviews/db_select_reviews.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 12
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/reviews/db_select_reviews_not_check.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 12
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/reviews/db_update_checked.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 4, 23
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/shopping_cart/db_shopping_cart_delete.php", "PHP", 0, 0, 17, 0, 0, 0, 4, 6, 27
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/shopping_cart/db_shopping_cart_insert_update_content.php", "PHP", 0, 0, 18, 0, 0, 0, 9, 5, 32
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/shopping_cart/db_shopping_cart_select.php", "PHP", 0, 0, 11, 0, 0, 0, 2, 3, 16
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/check_session.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_address_insert.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 5, 28
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_address_update.php", "PHP", 0, 0, 62, 0, 0, 0, 9, 17, 88
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_customer_search.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 1, 16
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_customer_update.php", "PHP", 0, 0, 69, 0, 0, 0, 10, 17, 96
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_order_search.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 1, 16
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_product_by_id.php", "PHP", 0, 0, 38, 0, 0, 0, 0, 4, 42
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_product_search.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 1, 12
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_products_enabled.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_select_info_customer.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 7, 30
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_shopping_cart_insert.php", "PHP", 0, 0, 29, 0, 0, 0, 9, 5, 43
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_shopping_cart_update.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 3, 21
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/language_cookie.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/logout.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 8
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/products/form_product_delete.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 2, 22
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/products/form_product_delete_call.php", "PHP", 0, 0, 4, 0, 0, 0, 0, 3, 7
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/products/form_product_insert.php", "PHP", 0, 0, 67, 0, 0, 0, 0, 3, 70
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/products/form_product_update.php", "PHP", 0, 0, 74, 0, 0, 0, 1, 2, 77
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/products/form_product_update_call.php", "PHP", 0, 0, 4, 0, 0, 0, 0, 0, 4
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/shopping_cart/form_shopping_cart_delete.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 19
